id,favorite_count,retweet_count
822462944365645825,29346,15113
822244816520155136,36321,10329
822163064745328640,0,5018
821886076407029760,11772,2429
821813639212650496,0,3501
821765923262631936,8732,1725
821522889702862852,8330,1848
821421320206483457,0,5852
821407182352777218,12236,4535
821153421864615936,264,10
821149554670182400,9023,2095
821107785811234820,9959,2231
821044531881721856,13143,2391
820837357901512704,0,7048
820749716845686786,32783,10340
820690176645140481,12678,3378
820494788566847489,0,592
820446719150292993,0,2693
820314633777061888,3471,592
820078625395449857,20601,6564
820013781606658049,0,1238
819952236453363712,5533,1238
819924195358416896,13399,5096
819711362133872643,13972,3256
819588359383371776,9982,2071
819347104292290561,7507,1261
819238181065359361,2376,426
819227688460238848,24024,7048
819015337530290176,0,38565
819015331746349057,0,19815
819006400881917954,47029,19815
819004803107983360,90339,38565
818646164899774465,0,21977
818627210458333184,23268,7898
818614493328580609,10244,2694
818588835076603904,0,6445
818536468981415936,11365,2595
818307523543449600,0,8513
818259473185828864,11469,2391
818145370475810820,12777,2705
817908911860748288,5042,837
817827839487737858,53870,28427
817777686764523521,11165,2828
817536400337801217,12275,3126
817502432452313088,0,3565
817423860136083457,35436,15535
817415592588222464,5839,1005
817181837579653120,0,8894
817171292965273600,9108,2122
817120970343411712,12701,2734
817056546584727552,8942,1721
816829038950027264,0,4947
816816676327063552,10450,2147
816697700272001025,10205,2299
816450570814898180,31833,8513
816336735214911488,8968,2046
816091915477250048,9303,2252
816062466425819140,0,1083
816014286006976512,0,5544
815990720817401858,5180,1083
815966073409433600,23351,8894
815745968457060357,0,4352
815736392542261248,10270,2384
815639385530101762,8575,1728
815390420867969024,10812,3996
814986499976527872,7978,1350
814638523311648768,11755,2847
814578408554463233,0,6127
814530161257443328,9021,1950
814153002265309185,30048,9134
813944609378369540,0,3353
813910438903693312,9706,1966
813812741911748608,37990,14698
813800681631023104,8697,1850
813217897535406080,19473,7675
813202720496779264,9613,1894
813187593374461952,20738,4602
813172488309972993,9708,2020
813157409116065792,8106,2328
813142292504645637,8828,2498
813130366689148928,4671,473
813127251579564032,12377,3291
813112105746448384,10754,2893
813096984823349248,10984,3804
813081950185472002,10314,2915
813066809284972545,8320,2055
813051746834595840,21878,7741
812781120811126785,7918,2017
812747805718642688,None,None
812709060537683968,6921,1505
812503143955202048,6340,1294
812466873996607488,8333,2031
812372279581671427,14308,3864
811985624773361665,7584,1480
811744202451197953,7890,1681
811647686436880384,5847,784
811627233043480576,13344,3270
811386762094317568,21849,6723
810984652412424192,5584,1519
810896069567610880,9450,1869
810657578271330305,11479,2797
810284430598270976,36929,11970
810254108431155201,15349,3536
809920764300447744,16190,4143
809808892968534016,0,5160
809448704142938112,7263,1544
809220051211603969,20829,5910
809084759137812480,13819,3716
808838249661788160,10573,3220
808733504066486276,8286,2288
808501579447930884,11814,2744
808344865868283904,44532,21977
808134635716833280,0,6263
808106460588765185,9177,2334
808001312164028416,13151,3735
807621403335917568,15248,3852
807106840509214720,124079,58580
807059379405148160,0,7731
807010152071229440,13664,4064
806629075125202948,78397,36639
806620845233815552,0,5837
806576416489959424,5092,2051
806542213899489280,10704,2488
806242860592926720,0,12287
806219024703037440,6726,1255
805958939288408065,0,5663
805932879469572096,8662,2020
805826884734976000,6878,1927
805823200554876929,0,8483
805520635690676224,6015,1741
805487436403003392,9200,2675
805207613751304193,8165,1803
804738756058218496,14350,4053
804475857670639616,6415,2127
804413760345620481,0,3400
804026241225523202,46683,17049
803773340896923648,10522,2909
803692223237865472,0,7835
803638050916102144,11481,4354
803380650405482500,8123,1962
803321560782307329,0,5615
803276597545603072,10508,2598
802952499103731712,9442,2113
802624713319034886,0,3075
802600418706604034,7448,1551
802572683846291456,9371,2651
802323869084381190,16972,6154
802265048156610565,6915,1439
802247111496568832,None,None
802239329049477120,9495,2759
802185808107208704,0,280
801958328846974976,8094,1800
801854953262350336,1851,249
801538201127157760,8585,2181
801285448605831168,6339,870
801167903437357056,25682,6263
801127390143516673,0,4172
801115127852503040,8459,2218
800859414831898624,720,101
800855607700029440,0,1700
800751577355128832,11029,2942
800513324630806528,13755,3168
800459316964663297,9942,2279
800443802682937345,0,4555
800388270626521089,11691,2963
800188575492947969,0,4174
800141422401830912,16035,2693
800018252395122689,29760,13911
799774291445383169,0,4943
799757965289017345,8793,2282
799422933579902976,8439,2038
799308762079035393,0,5790
799297110730567681,10370,2922
799063482566066176,8459,2608
798933969379225600,13749,4736
798925684722855936,7818,1510
798705661114773508,0,6992
798701998996647937,0,8221
798697898615730177,0,6860
798694562394996736,0,5245
798686750113755136,0,2460
798682547630837760,0,4975
798673117451325440,0,5868
798665375516884993,0,4116
798644042770751489,0,1962
798628517273620480,0,2083
798585098161549313,0,6031
798576900688019456,0,6172
798340744599797760,0,3549
798209839306514432,10888,2708
797971864723324932,12185,3299
797545162159308800,15202,5134
797236660651966464,20916,6991
797165961484890113,236,28
796904159865868288,0,9409
796865951799083009,8047,2017
796759840936919040,12413,3229
796563435802726400,0,7698
796484825502875648,7951,1863
796387464403357696,11535,4388
796177847564038144,0,15105
796149749086875649,33862,15105
796125600683540480,5193,1899
796116448414461957,9563,2554
796080075804475393,8871,2450
796031486298386433,11331,3920
795464331001561088,52135,25051
795400264262053889,10567,3050
795076730285391872,16997,5733
794983741416415232,0,3558
794926597468000259,10772,2436
794355576146903043,0,10873
794332329137291264,10037,2810
794205286408003585,9643,3506
793962221541933056,17615,5160
793845145112371200,9664,1974
793614319594401792,0,3306
793601777308463104,8367,1717
793500921481273345,11201,2511
793286476301799424,25784,9699
793271401113350145,9093,2520
793256262322548741,20960,8807
793241302385262592,11025,3466
793226087023144960,10320,3035
793210959003287553,9362,2952
793195938047070209,16017,5940
793180763617361921,7274,2110
793165685325201412,9870,2935
793150605191548928,6485,1800
793135492858580992,6773,2621
793120401413079041,13304,4131
792913359805018113,15033,4202
792883833364439040,11846,4508
792773781206999040,7704,1777
792394556390137856,14082,4527
792050063153438720,7513,1909
791821351946420224,0,22244
791784077045166082,0,10152
791780927877898241,0,4019
791774931465953280,47281,23443
791672322847637504,12306,3306
791406955684368384,13749,4352
791312159183634433,9195,2676
791026214425268224,0,4334
790987426131050500,10336,2246
790946055508652032,17442,4947
790723298204217344,0,2447
790698755171364864,8591,2027
790581949425475584,21666,7571
790337589677002753,8189,1977
790277117346975746,13149,3353
790227638568808452,0,3771
789986466051088384,9680,2447
789960241177853952,0,4351
789903600034189313,10866,4355
789628658055020548,7865,1875
789599242079838210,7084,2027
789530877013393408,12328,3558
789314372632018944,9036,2413
789280767834746880,0,5214
789268448748703744,9530,2744
789137962068021249,10165,2951
788908386943430656,28692,13112
788765914992902144,28700,10873
788552643979468800,0,7602
788412144018661376,16300,5555
788178268662984705,7568,2216
788150585577050112,6418,1363
788070120937619456,0,3613
788039637453406209,6431,1391
787810552592695296,9076,3231
787717603741622272,10705,2927
787397959788929025,11362,2993
787322443945877504,8151,1838
787111942498508800,0,7095
786963064373534720,27833,8391
786729988674449408,0,2535
786709082849828864,19064,6431
786664955043049472,11122,2688
786595970293370880,9842,3281
786363235746385920,11399,3692
786286427768250368,8335,3012
786233965241827333,15978,5018
786051337297522688,1492,160
786036967502913536,0,7420
785927819176054784,11905,3339
785872687017132033,6996,1921
785639753186217984,8177,2341
785533386513321988,9522,2099
785515384317313025,6383,1330
785264754247995392,7584,1714
785170936622350336,12602,5097
784826020293709826,10581,3400
784517518371221505,9355,2664
784431430411685888,5950,1349
784183165795655680,21017,8483
784057939640352768,31166,11699
783839966405230592,31352,11322
783821107061198850,7679,2060
783695101801398276,10912,3370
783466772167098368,8823,2359
783391753726550016,17612,5774
783347506784731136,0,5879
783334639985389568,30454,12287
783085703974514689,8509,2329
782969140009107456,25187,7731
782747134529531904,7797,1472
782722598790725632,18016,5663
782598640137187329,8129,1974
782305867769217024,17389,5852
782021823840026624,0,6512
781955203444699136,11604,3532
781661882474196992,10904,2847
781655249211752448,4168,1177
781524693396357120,21647,5837
781308096455073793,7443,2677
781251288990355457,8800,2191
781163403222056960,10206,2868
780931614150983680,22545,7698
780858289093574656,7492,2106
780800785462489090,5727,1370
780601303617732608,12634,3501
780543529827336192,6571,1819
780496263422808064,0,3875
780476555013349377,0,121
780459368902959104,5512,1126
780192070812196864,9065,2346
780092040432480260,0,2418
780074436359819264,12753,5217
779834332596887552,19747,7420
779377524342161408,9189,3256
779124354206535695,0,19271
779123168116150273,None,None
779056095788752897,15401,4744
778990705243029504,20852,7570
778774459159379968,0,10403
778764940568104960,899,383
778748913645780993,7188,1378
778650543019483137,6008,1580
778624900596654080,4823,1059
778408200802557953,14218,4542
778396591732486144,0,12815
778383385161035776,6087,1153
778286810187399168,10831,3452
778039087836069888,8834,2760
778027034220126208,6825,1700
777953400541634568,0,3709
777885040357281792,6620,1708
777684233540206592,11692,3075
777641927919427584,0,4428
777621514455814149,9126,2606
777189768882946048,14879,4499
776819012571455488,0,14339
776813020089548800,5078,1271
776477788987613185,9206,2905
776249906839351296,0,9576
776218204058357768,31175,16652
776201521193218049,10000,2634
776113305656188928,12224,4555
776088319444877312,1913,158
775898661951791106,0,17181
775842724423557120,12189,2798
775733305207554048,14404,4172
775729183532220416,13458,4807
775364825476165632,7704,3115
775350846108426240,10568,4080
775096608509886464,None,None
775085132600442880,16184,4943
774757898236878852,8919,1857
774639387460112384,6984,1805
774314403806253056,22630,5790
773985732834758656,11144,4047
773922284943896577,6655,1826
773704687002451968,6872,1700
773670353721753600,5538,1360
773547596996571136,22976,6445
773336787167145985,0,5314
773308824254029826,24179,7801
773247561583001600,9796,3385
773191612633579521,10381,4317
772877495989305348,8899,4051
772826264096874500,8340,2448
772615324260794368,0,3519
772581559778025472,6744,1764
772193107915964416,6281,1449
772152991789019136,3943,1176
772117678702071809,3918,771
772114945936949249,2815,487
772102971039580160,4161,970
771908950375665664,6828,1982
771770456517009408,12461,3549
771500966810099713,8576,2717
771380798096281600,10896,5314
771171053431250945,0,7842
771136648247640064,9501,3049
771102124360998913,6484,1495
771014301343748096,7141,1720
771004394259247104,0,225
770787852854652928,5130,1257
770772759874076672,5374,1476
770743923962707968,None,None
770655142660169732,7593,1829
770414278348247044,6540,2175
770293558247038976,6476,1547
770093767776997377,0,3182
770069151037685760,7862,2393
769940425801170949,32572,9994
769695466921623552,6629,1732
769335591808995329,0,8038
769212283578875904,5603,1786
768970937022709760,14961,6794
768909767477751808,0,2801
768855141948723200,4354,927
768609597686943744,4268,1251
768596291618299904,5221,1334
768554158521745409,0,6067
768473857036525572,14147,3581
768193404517830656,11302,3709
767884188863397888,4938,1447
767754930266464257,16624,5615
767500508068192258,7763,2433
767191397493538821,12735,3940
767122157629476866,10520,2974
766864461642756096,0,5881
766793450729734144,5271,1410
766714921925144576,2699,394
766693177336135680,4165,826
766423258543644672,6239,1658
766313316352462849,7036,1960
766078092750233600,0,2727
766069199026450432,4410,889
766008592277377025,3888,518
765719909049503744,7506,2228
765669560888528897,5376,1266
765395769549590528,27453,3522
765371061932261376,7342,2251
765222098633691136,12037,3519
764857477905154048,6675,1838
764259802650378240,6248,1568
763956972077010945,774,57
763837565564780549,13034,4334
763183847194451968,5581,1538
763167063695355904,0,3146
763103485927849985,7621,2371
762699858130116608,12602,3771
762471784394268675,11652,6715
762464539388485633,10664,4351
762316489655476224,4970,1162
762035686371364864,33080,16199
761976711479193600,5585,2088
761750502866649088,0,4079
761745352076779520,4411,890
761672994376806400,51267,30231
761599872357261312,4267,1227
761371037149827077,0,18773
761334018830917632,5379,1506
761292947749015552,4624,1130
761227390836215808,5495,1622
761004547850530816,11726,3613
760893934457552897,3951,1015
760656994973933572,6841,1982
760641137271070720,5135,1337
760539183865880579,7855,3763
760521673607086080,4376,1449
760290219849637889,27746,11952
760252756032651264,4083,901
760190180481531904,5895,1875
760153949710192640,0,31
759943073749200896,6136,2162
759923798737051648,15173,5881
759846353224826880,6941,2051
759793422261743616,6160,1968
759566828574212096,0,21909
759557299618865152,4861,1224
759447681597108224,8789,2535
759446261539934208,1727,503
759197388317847553,6266,2018
759159934323924993,0,1209
759099523532779520,14996,4324
759047813560868866,6713,2104
758854675097526272,3661,928
758828659922702336,11568,3989
758740312047005698,5918,1667
758474966123810816,3937,1035
758467244762497024,4960,2304
758405701903519748,5371,1996
758355060040593408,3524,1123
758099635764359168,19783,10403
758041019896193024,2791,387
757741869644341248,7101,3368
757729163776290825,0,8324
757725642876129280,4686,1259
757611664640446465,4716,1146
757597904299253760,0,306
757596066325864448,4479,1086
757400162377592832,15646,7096
757393109802180609,6013,1798
757354760399941633,4671,1476
756998049151549440,6490,2056
756939218950160384,6860,2077
756651752796094464,5221,1353
756526248105566208,10746,3726
756303284449767430,4071,1131
756288534030475264,44204,18083
756275833623502848,6635,1585
755955933503782912,7563,2980
755206590534418437,16978,5535
755110668769038337,21911,11488
754874841593970688,0,8223
754856583969079297,7102,2610
754747087846248448,2660,542
754482103782404096,5478,2020
754449512966619136,3870,754
754120377874386944,8121,2439
754011816964026368,None,None
753655901052166144,6015,2237
753420520834629632,8177,3683
753398408988139520,5957,1983
753375668877008896,7883,2418
753298634498793472,0,5931
753294487569522689,3487,1079
753039830821511168,38300,21684
753026973505581056,4030,1005
752932432744185856,13025,7095
752917284578922496,7109,1635
752701944171524096,0,2970
752682090207055872,6172,1652
752660715232722944,4527,1617
752568224206688256,5696,2364
752519690950500352,7596,3558
752334515931054080,3931,1141
752309394570878976,0,16981
752173152931807232,6119,1899
751950017322246144,3159,959
